Taxonomy_ID,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Bacteroidetes_897,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,,Alistipes onderdonkii
Bacteroidetes_899,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242,Alistipes finegoldii DSM 17242
Bacteroidetes_905,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,,Alistipes
Bacteroidetes_907,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus,,Alistipes indistinctus
Firmicutes_Tenericutes_1006,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister massiliensis,,Dialister massiliensis
Firmicutes_Tenericutes_1045,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,,Megamonas funiformis
Firmicutes_Tenericutes_1046,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,,Megamonas funiformis
Firmicutes_Tenericutes_2154,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,,Streptococcus salivarius
Firmicutes_Tenericutes_2155,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. FDAARGOS_192,,Streptococcus sp. FDAARGOS_192
Firmicutes_Tenericutes_2161,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,,Streptococcus
Firmicutes_Tenericutes_2430,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sp. LPB0220,,Streptococcus sp. LPB0220
Firmicutes_Tenericutes_3309,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella cibaria
Firmicutes_Tenericutes_347,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. NP157,,Bacillus sp. NP157
Firmicutes_Tenericutes_432,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,Lachnospira eligens,,Lachnospira eligens
Firmicutes_Tenericutes_434,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,Coprococcus eutactus ATCC 27759,Coprococcus eutactus ATCC 27759
